Sesssion,mini_scene_id,Walk,Head Up,Graze,Other,Interval(sec),Habitat,Herd Size
1,11_01_23-DJI_0977_2,0.442608845,0.417139907,0.096196868,0.04405438,193.7,Closed,Small
1,11_01_23-DJI_0977_3,0.513430282,0.371257485,0.06603935,0.049272883,194.8333333,Closed,Small
1,11_01_23-DJI_0977_1,0.557903494,0.358236273,0.032945092,0.050915141,200.3333333,Closed,Small
2,11_01_23-DJI_0488_9,0.016228976,0.983771024,0,0,112.9666667,Open,Small
2,11_01_23-DJI_0488_45,0,0.745381773,0,0.254618227,108.2666667,Open,Small
2,11_01_23-DJI_0488_19,0,0.999707088,0,0.000292912,113.8,Open,Small
2,11_01_23-DJI_0488_53,0.42747784,0.435938759,0.10475423,0.03182917,82.73333333,Open,Small
2,11_01_23-DJI_0488_50,0.302990033,0.697009967,0,0,150.5,Open,Small
2,11_01_23-DJI_0488_51,0.179394565,0.820605435,0,0,193.8,Open,Small
3,12_01_23-DJI_0997_15,0.580671581,0.223177723,0,0.196150696,81.4,Open,Small
3,12_01_23-DJI_0997_43,0.334874047,0.250982205,0,0.414143749,144.2333333,Open,Small
3,12_01_23-DJI_0997_13,0.728489484,0.129254302,0,0.142256214,87.16666667,Open,Small
3,12_01_23-DJI_0997_41,0.532544379,0.357814132,0,0.10964149,95.76666667,Open,Small
3,12_01_23-DJI_0997_61,0.035768072,0.964231928,0,0,88.53333333,Open,Small
3,12_01_23-DJI_0997_62,0.055492639,0.875424689,0,0.069082673,88.3,Open,Small
3,12_01_23-DJI_0998_2,0.19057548,0.603419516,0,0.206005004,79.93333333,Closed,Small
3,12_01_23-DJI_0998_1,0.390914907,0.338451695,0,0.270633397,104.2,Closed,Small
4,16_01_23_session_2-DJI_0001_11,0,0.692763938,0,0.307236062,84.3,Closed,Large
4,16_01_23_session_2-DJI_0001_19,0.044997816,0,0.953691568,0.001310616,76.3,Closed,Large
4,16_01_23_session_2-DJI_0001_8,0.021250221,0,0.230741987,0.748007792,188.2333333,Closed,Large
4,16_01_23_session_2-DJI_0002_12,0,0.038435046,0.799559168,0.162005786,241.9666667,Closed,Large
4,16_01_23_session_2-DJI_0002_20,0,0,1,0,199.1666667,Closed,Large
4,16_01_23_session_2-DJI_0002_24,0,1,0,0,187.8,Closed,Large
4,16_01_23_session_2-DJI_0002_18,0,0.320886533,0.579137557,0.099975909,138.3666667,Closed,Large
4,16_01_23_session_2-DJI_0002_5,0.022921594,0.119337821,0.595051846,0.262688739,183.2333333,Closed,Large
4,16_01_23_session_2-DJI_0002_3,0,0.989877689,0,0.010122311,79.03333333,Closed,Large
4,16_01_23_session_2-DJI_0002_23,0.027511537,0,0.972488463,0,187.8,Closed,Large
4,16_01_23_session_2-DJI_0003_2,0,0.057528214,0.942471786,0,121.1,Closed,Large
4,16_01_23_session_2-DJI_0003_16,0.140961857,0.056384743,0.800995025,0.001658375,180.9,Closed,Large
4,16_01_23_session_2-DJI_0003_5,0.017662576,0.036472072,0.945865352,0,290.6333333,Closed,Large
4,16_01_23_session_2-DJI_0003_19,0,0.017094017,0.938711695,0.044194288,159.9,Closed,Large
4,16_01_23_session_2-DJI_0003_3,0.143938525,0.342470467,0.484688611,0.028902397,290.6333333,Closed,Large
4,16_01_23_session_2-DJI_0003_26,0.050800663,0,0.905577029,0.043622308,60.36666667,Closed,Large
4,16_01_23_session_2-DJI_0003_1,0.033260695,0.017089116,0.949650189,0,290.6333333,Closed,Large
4,16_01_23_session_2-DJI_0003_10,0,0,0.995058242,0.004941758,94.43333333,Closed,Large
4,16_01_23_session_2-DJI_0003_4,0.071911917,0.070191536,0.857896548,0,290.6333333,Closed,Large
4,16_01_23_session_2-DJI_0004_2,0.12980479,0.511370497,0.358824713,0,165.6333333,Closed,Large
4,16_01_23_session_2-DJI_0004_7,0.119943651,0.211712618,0.620245522,0.048098209,165.6333333,Closed,Large
4,16_01_23_session_2-DJI_0004_5,0,0.021631879,0.978368121,0,87.83333333,Closed,Large
4,16_01_23_session_2-DJI_0004_3,0.107868786,0.005836184,0.886295029,0,165.6333333,Closed,Large
4,16_01_23_session_2-DJI_0004_1,0,0.003220612,0.968800322,0.027979066,165.6,Closed,Large
4,16_01_23_session_2-DJI_0004_8,0.097304128,0,0.902695872,0,79.13333333,Closed,Large
4,16_01_23_session_2-DJI_0004_6,0.074260415,0.075669149,0.850070437,0,165.6333333,Closed,Large
4,16_01_23_session_2-DJI_0004_4,0,0,0.962739174,0.037260826,99.3,Closed,Large
5,18_01_2023_session_7-DJI_0068_0,0.860073111,0.060113729,0.032087734,0.047725426,162.7293961,Open,Small
5,18_01_2023_session_7-DJI_0068_1,0.986596263,0.003655565,0,0.009748172,164.297631,Open,Small
5,18_01_2023_session_7-DJI_0069_0,0.777032835,0.165033522,0.009970775,0.047962867,194.0940941,Open,Small
5,18_01_2023_session_7-DJI_0069_1,0.726147499,0.273508681,0.00034382,0,194.0940941,Open,Small
5,18_01_2023_session_7-DJI_0070_0,0.673374613,0.307705538,0,0.018919849,193.993994,Open,Small
5,18_01_2023_session_7-DJI_0070_1,0.5,0.499828001,0.000171999,0,193.993994,Open,Small
6,20_01_2023_session_3-DJI_0142_0,0.430166212,0.164227239,0.260233193,0.145373356,123.4901568,Open,Large
6,20_01_2023_session_3-DJI_0142_7,0.237410072,0.237161995,0.457206648,0.068221285,133.8338338,Open,Large
6,20_01_2023_session_3-DJI_0142_8,0.423716199,0.100719424,0.450756636,0.02480774,136.5031698,Open,Large
6,20_01_2023_session_3-DJI_0142_9,0.414041181,0.383031506,0.151823369,0.051103944,138.8388388,Open,Large
6,20_01_2023_session_3-DJI_0142_11,0.418010419,0.12974448,0.379062267,0.073182833,134.5011678,Open,Large
6,20_01_2023_session_3-DJI_0143_0,0.31471296,0.447920248,0.191130973,0.04623582,189.8898899,Open,Large
6,20_01_2023_session_3-DJI_0143_1,0.362495703,0.270883465,0.359401856,0.007218976,194.1274608,Open,Large
6,20_01_2023_session_3-DJI_0143_2,0.406668958,0.23169474,0.361464421,0.00017188,190.2235569,Open,Large
6,20_01_2023_session_3-DJI_0143_3,0.416122379,0.144207631,0.415262977,0.024407013,194.1274608,Open,Large
6,20_01_2023_session_3-DJI_0143_4,0.389996562,0.198521829,0.373667927,0.037813682,194.1274608,Open,Large
6,20_01_2023_session_3-DJI_0144_0,0.023770641,0.01687534,0.348575576,0.610778443,111.4781448,Open,Large
6,20_01_2023_session_3-DJI_0144_1,0.10705861,0.062239158,0.66920704,0.161495191,187.5542209,Open,Large
6,20_01_2023_session_3-DJI_0144_2,0.033932136,0.035202323,0.298493921,0.63237162,74.44110777,Open,Large
6,20_01_2023_session_3-DJI_0144_3,0.125567048,0.697332608,0.063146434,0.11395391,162.1955289,Open,Large
6,20_01_2023_session_3-DJI_0144_4,0.064053711,0.085283977,0.643258937,0.207403375,189.2225559,Open,Large
6,20_01_2023_session_3-DJI_0144_5,0.064598077,0.216839049,0.564507349,0.154055525,183.8838839,Open,Large
6,20_01_2023_session_3-DJI_0145_0,0.013472789,0.046977486,0.939549725,0,187.2205539,Open,Large
6,20_01_2023_session_3-DJI_0145_1,0.05318206,0.266087573,0.680021273,0.000709094,193.9606273,Open,Large
6,20_01_2023_session_3-DJI_0145_2,0.114695976,0.236482893,0.586598121,0.06222301,193.8938939,Open,Large
6,20_01_2023_session_3-DJI_0145_3,0.03510016,0.000709094,0.955504343,0.008686403,190.5572239,Open,Large
6,20_01_2023_session_3-DJI_0145_4,0.058500266,0.155114341,0.751285233,0.03510016,188.2215549,Open,Large
6,20_01_2023_session_3-DJI_0146_0,0.004784689,0.108984583,0.884635832,0.001594896,130.1634968,Open,Large
6,20_01_2023_session_3-DJI_0146_1,0,0,1,0,193.8938939,Open,Large
6,20_01_2023_session_3-DJI_0146_2,0,0,0.997873472,0.002126528,193.8938939,Open,Large
6,20_01_2023_session_3-DJI_0146_3,0,0,1,0,193.8938939,Open,Large
6,20_01_2023_session_3-DJI_0146_4,0,0,1,0,193.8938939,Open,Large
6,20_01_2023_session_3-DJI_0146_5,0.023923445,0,0.976076555,0,62.76276276,Open,Large
6,20_01_2023_session_3-DJI_0147_0,0.070105557,0.184027086,0.74148576,0.004381597,167.2005339,Open,Large
6,20_01_2023_session_3-DJI_0147_1,0.044413463,0.068512249,0.886277634,0.000796654,167.5342009,Open,Large
6,20_01_2023_session_3-DJI_0147_2,0.037641904,0,0.961561442,0.000796654,166.8668669,Open,Large
6,20_01_2023_session_3-DJI_0147_3,0.055765784,0.001792472,0.935670185,0.006771559,167.2005339,Open,Large
6,20_01_2023_session_3-DJI_0147_4,0.003186616,0,0.996215893,0.000597491,167.5342009,Open,Large